Иероглиф,Основное значение,Дополнительное значение,Примечание
妈,мама,,
戏,театр,,
羽,перо,,
观,смотреть на что-л,,
欢,радоваться,,
买,купить,,
红,красный,,
驮,тащить на спине,,
纤,тонкий,,
驯,быть ручным,,
约,сдерживать,,
级,уровень,,
纪,управлять,,
驰,мчаться,,
纫,снабдить ниткой,,
巡,объезжать,,
寿,долголетие,,
弄,играть,,
麦,пшеница,,
玖,чёрный нефрит,,
玛,Маттео,,
形,форма,,
进,входить,,
戒,остерегаться,,
吞,отать,,
远,далёкий,,
违,нарушать,,
韧,эластичный,,
运,перемещать,,
扶,поддерживать,,
抚,адить,,
坛,жертвенник,,
技,искусство,,
坏,плохой,,
抠,приподнимать,,
扰,беспокоить,,
扼,схватить,,
拒,отбивать,,
找,искать,,
批,критиковать,,
址,фундамент,,
扯,рвать,,
走,ходить,,
抄,грабить,,
贡,дань,,
汞,ртуть,,
坝,плотина,,
攻,нападать,,
赤,красный,,
折,ломать,,
抓,схватить,,
扳,тянуть на себя,,
抡,выбирать,,
扮,одеваться,,
抢,отнимать силой,,
孝,почитание родителей,,
坎,яма,,
均,равный,,
抑,давить,,
抛,бросать,,
投,бросать,,
坟,могила,,
坑,яма,,
抗,сопротивляться,,
坊,квартал,,
抖,дрожать,,
护,защищать,,
壳,твёрдая оболочка,,
志,стремление,,
块,ком,,
扭,крутиться,,
声,звук,,
把,держать,показатель конструкции 把,лексическое и грамматическое употребление
报,газета,,
拟,предполагать,,
却,отступать,,
抒,выражать,,
劫,грабить,,
芙,гибискус,,
芜,пустырь,,
苇,тонкий тростник,,
芽,почка,,
花,цветок,тратить,
芹,сельдерей,,
芥,горчица пониклая,,
芬,аромат,,
苍,зелёный,,
芳,приятный запах,,
严,строгий,,
芦,тростник обыкновенный,,
芯,фитиль,,
劳,трудиться,,
克,справиться,,
芭,название душистой травы,,
苏,перилла нанкинская,,
杆,палка,,
杠,палка,,
杜,груша берёзолистная,,
材,сырьё,,
村,деревня,,
杖,посох,,
杏,абрикос,,
杉,ель,,
巫,танцовщица-шаманка,,
极,оконечность,,
李,слива,,
杨,ива Матсуды,,
求,искать,,
甫,отец,почтительное обращение,
匣,ящичек,,
更,меняться,,
束,вязать,,
吾,я,,
豆,бобы,,
两,два,,
酉,знак Петуха,,
丽,красивый,,
医,врач,,
辰,чэнь,,
励,поощрять,,
否,не,,
还,ещё,возвращать,полифония hái / huán
尬,неловкий,,
歼,ребить крупнейших вожаков,,
来,приходить,,
连,соединяться,,
轩,высокий борт колесницы,,
步,шаг,,
卤,солончаки,,
坚,твёрдый,,
肖,напоминать,,
旱,засуха,,
盯,уставиться,,
呈,офиц. рапортом доносить,,
时,час,,
吴,У У,,
助,помогать,,
县,уезд,,
里,подкладка,,
呆,тупой,,
吱,чириканью,,
吠,петухи поют,,
呕,рвать,,
园,плодовый сад,,
旷,ясный,,
围,окружать,,
呀,недоумение,,
吨,длинная тонна,,
足,нога,,
邮,почта,,
男,мужчина,,
困,бедный,,
吵,шуметь,,
串,нанизывать,,
员,чиновник,,
呐,орать,,
听,слушать,,
吟,читать нараспев,,
吩,приказывать,,
呛,поперхнуться,раздражать запахом,
吻,губы,,
吹,дуть,,
呜,гудеть,,
吭,горло,,
吧,хлоп!,,
邑,город,,
吼,рычать,,
囤,амбар,,
别,различаться,,
吮,сосать грудь,,
岖,круча,,
岗,пост,,
帐,занавеска,,
财,богатство,,
针,иголка,,
钉,гвоздь,,
牡,самец,,
告,говорить,,
我,я,,
乱,спутанный,,
利,польза,,
秃,плешивый,,
秀,колос,,
私,личный,,
每,каждый,,
兵,солдат,,
估,оценивать,,
体,тело,,
何,А. вопросительное,,
佐,помощник,,
佑,благословить,,
但,однако,,
伸,вытягивать,,
佃,обрабатывать землю,,
作,делать,,
伯,дядя,,
伶,актёр,,
佣,наниматься в работники,,
低,низкий,,
你,мы с тобой,,
住,проживать,,
位,местоположение,,
伴,товарищ,,
身,тело,,
皂,мыло,,
伺,следить,,
佛,буддизм,,
囱,отверстие над очагом,,
近,близкий,,
彻,проходить до,,
役,повинность,,
返,возвращаться,,
余,остаток,,
希,надеяться,редкий,
坐,сидеть,,
谷,долина,,
妥,надлежащий,,
含,держать во рту,,
邻,сосед,,
