Иероглиф,Основное значение,Дополнительное значение,Примечание
墓,посещать могилы,,
幕,полог,,
蓬,мелколепестник острый,,
蓄,запасать,,
蒲,камыш,,
蓉,гуандунский диал. фарш,,
蒙,покрывать,,
蒸,крупный черенок,,
献,подносить,,
椿,цедрела китайская,,
禁,запрещать,,
楚,прутняк китайский,,
楷,образец,,
榄,олива,,
想,думать,,
槐,софора японская,,
榆,вяз приземистый,,
楼,башня,,
概,всеобщий,,
赖,опираться,,
酪,полутвёрдый или густой молочный продукт,,
酬,угощать,,
感,чувствовать,,
碍,заваливать,,
碘,кристалл йода,,
碑,поставить памятник,,
碎,разбить,,
碰,сталкиваться,случайно встречать,
碗,одна чашка риса,,
碌,заурядный,,
尴,сконфуженный,,
雷,Гром,,
零,мелкий,,
雾,туман,,
雹,крупа и град,,
辐,спица колеса,,
辑,собирать,,
输,проигрывать,,
督,контролировать,,
频,неоднократный,,
龄,возраст,,
鉴,зеркало,,
睛,не отводить глаза,,
睹,смотреть,,
睦,дружественный,,
瞄,брать на прицел,,
睫,ресница,,
睡,спать,,
睬,заставляю её делать уроки,,
嗜,любить,,
鄙,дикий,,
嗦,сосать пальцы,,
愚,неразумный,,
暖,тёплый,,
盟,лига,,
歇,отдыхать,,
暗,тёмный,,
暇,досуг,,
照,светиться,,
畸,неполный,,
跨,расставлять ноги,,
跷,поднимать высоко,,
跳,прыгать,,
跺,услышав эти слова,,
跪,стоять на коленях,,
路,дорога,,
跤,схватка,,
跟,следовать,,
遣,посылать,,
蜈,сороконожка,,
蜗,улитка,,
蛾,мотылёк,,
蜂,пчела,,
蜕,сброшенная кожа,,
嗅,обонять,,
嗡,мычанию коровы,,
嗓,гортань,,
署,учреждение,,
置,класть,,
罪,преступление,,
罩,колпак,,
蜀,Сычуань,,
幌,полог,,
错,ошибаться,,
锚,мор. якорь,,
锡,олово,,
锣,колотушка гонга,,
锤,молот,,
锥,шило,,
锦,парча,,
键,клавиша,,
锯,пилить,,
锰,марганцовая сталь,,
矮,низкий,,
辞,слово,,
稚,молодой,,
稠,густой,,
颓,обрушиваться,,
愁,тоска,,
筹,бирка,,
签,подписывать,,
简,бамбуковая дощечка для письма,,
筷,палочки из слоновой кости,,
毁,разрушаться,,
舅,дядя,,
鼠,крыса,,
催,побуждать,,
傻,тупой,,
像,внешний облик,,
躲,прятаться,,
魁,Ковш,,
衙,учреждение,,
微,крошечный,,
愈,превосходить,,
遥,далёкий,,
腻,сало,,
腰,поясница,,
腥,сырое мясо,,
腮,щека,,
腹,живот,,
腺,железа,,
鹏,мощные облака,,
腾,возноситься,,
腿,нога,,
鲍,солёная сушёная рыба,,
猿,обезьяна,,
颖,ость колоса,,
触,бодать,,
解,раскалывать,,
煞,заканчивать,,
雏,цыплёнок,,
馍,жарить хлебцы,,
馏,перегонять,,
酱,соевая подлива,,
禀,докладывать,,
痹,онеметь,,
廓,широкий,,
痴,тупой,,
痰,кровавая мокрота,,
廉,честный,,
靖,мирный,,
新,новый,,
韵,рифма,,
意,мысль,,
誊,переписать черновик,,
粮,хлеб в зерне,,
数,число,считать,
煎,выпаривать,,
塑,ваять,,
慈,любящий,,
煤,уголь,,
煌,светлый,,
满,полный,,
漠,безводная ширь,,
滇,дянь,,
源,ключ,,
滤,процедить один раз,,
滥,чрезмерный,,
滔,подниматься,,
溪,горный ручей,,
溜,стекать,,
漓,просачиваться,,
滚,набегать,,
溢,переливать через край,,
溯,идти против течения,,
滨,песчаный берег,,
溶,растворять,,
溺,тонуть,,
粱,просо,,
滩,отмель,,
慎,быть серьёзным,,
誉,хвалить,,
塞,затыкать,пограничная крепость,
寞,безмолвный,,
窥,подглядывать,,
窟,яма,,
寝,спать,,
谨,почтительный,,
褂,куртка,,
裸,голый,,
福,счастье,,
谬,ошибка,,
群,стадо,,
殿,зал,,
辟,государь,,
障,дамба,,
媳,жена младшего брата,,
嫉,завидовать,,
嫌,подозревать,,
嫁,выйти замуж,,
叠,лежать слоями,,
缚,связывать,,
缝,шить,,
缠,обматывать,,
缤,обильный,,
剿,вырезать,,
静,спокойный,,
碧,яшма,,
璃,стекло,,
赘,стар. быть заложенным,,
熬,томить,,
墙,стена,,
墟,большой голый холм,,
嘉,прекрасный,,
摧,разбивать,,
赫,огненно-красный,,
截,резать,,
誓,клятва,,
境,граница,,
摘,собирать,,
摔,бросать,,
撇,бросать,,
聚,собираться вместе,,
慕,думать о,,
暮,заход солнца,,
摹,подражать,,
蔓,плеть,,
蔑,третировать,,
蔡,Цай,,
蔗,сахарный тростник,,
蔽,покрывать,,
蔼,густой,,
熙,сияющий,,
蔚,полынь японская,,
兢,дрожать,,
模,форма,,
槛,клетка,,
榴,гранатовое дерево,,
榜,объявление,,
榨,выжимать,,
榕,фикус притупленный,,
歌,спеть песню,,
遭,столкнуться,,
酵,акциз на дрожжи,,
酷,жестокий,,
酿,изготовлять,,
酸,кислый,,
碟,блюдечко,,
碱,щёлочь,,
碳,углерод,,
磁,магнит,,
愿,хотеть,,
需,потребность,,
辖,управлять,,
辗,делать пол-оборота,,
雌,самка и самец,,
裳,одежда,,
颗,крупинка соли,,
瞅,смотреть,,
墅,усадьба,,
嗽,кашлять,,
踊,прыгать,,
蜻,стрекоза,,
蜡,воск,,
蝇,кампания по уничтожению мух,,
蜘,паук,,
蝉,цикада,,
嘛,же,модальная частица,
嘀,капать,,
赚,приобретать,,
锹,железная лопата,,
锻,ковать,,
镀,покрывать металлом,,
舞,танцевать,,
舔,лизать,,
稳,крепкий,,
熏,благоухать,,
箕,веяльная плетушка,,
算,считать,,
箩,бамбуковая корзина,,
管,управлять,,
箫,кит. муз. сяо,,
舆,экипаж,,
僚,чиновник,,
僧,буддийский монах,,
鼻,нос,,
魄,душа,,
魅,бес,,
貌,наружность,,
膜,плёнка,,
膊,плечо,,
膀,рука,,
鲜,свежий,редкий; мало,
疑,сомневаться,,
孵,вылупиться,,
馒,паровая булочка,,
裹,завёртывать,,
敲,стучать,,
豪,человек выдающийся,,
膏,жирное мясо,,
遮,покрывать,,
腐,гнить,,
瘩,шишка,,
瘟,эпидемия,,
瘦,худой,,
辣,острый,,
彰,ясный,,
竭,ощаться,,
端,конец,,
旗,знамя,,
精,чистый,,
粹,чистый,,
歉,неурожай,,
弊,надувательство,,
熄,потушить,,
熔,плавить чугун,,
煽,разжигать,,
潇,глубокий и чистый,Сяо (река),
漆,лак,,
漱,полоскать,,
漂,плыть,,
漫,разливаться,,
滴,капать,,
漾,зыбь,,
演,ставиться,,
漏,протекать,,
慢,медлительный,,
慷,щедрый,,
寨,частокол,,
赛,соревноваться,,
寡,вдова,,
察,расследовать,,
蜜,мёд,,
寥,пустынный,,
谭,Тань,,
肇,зачинать,,
褐,бурый,,
褪,спускаться,,
谱,систематическая запись,,
隧,ход,,
嫩,молодой,,
翠,самка зимородка,,
熊,ведь,,
凳,табурет,,
骡,мулы и ослы,,
缩,сжиматься,,
慧,умный,,
撵,гнать,,
撕,разорвать,,
撒,распускать,,
撩,поднять,,
趣,интерес,,
趟,/счётное слово,,
撑,подпирать,,
撮,брать двумя пальцами,,
撬,вскрыть,,
播,сеять,,
擒,взять живьём,,
墩,курган,,
撞,бить,,
撤,убирать,,
增,увеличивать,,
撰,сочинять,,
聪,чуткий,,
鞋,домашние туфли,,
鞍,все спешились и расседлали коней,,
蕉,напр. 芭蕉,,
蕊,тычинки и пестики,,
蔬,овощи,,
蕴,собирать,,
横,поперечина,,
槽,кормушка,,
樱,вишня,,
橡,дуб острейший,,
樟,камфора,,
橄,олива,,
敷,распространять,,
豌,горох,,
飘,носиться по ветру,,
醋,уксус,,
醇,чистейшее вино,,
醉,пьяный,,
磕,ударяться друг о друга,,
磊,груда камней,,
磅,английский фунт,,
碾,каток,,
震,греметь,,
霄,небесная твердь,,
霉,плесневый грибок,,
瞒,скрыть,,
题,лоб,,
暴,жестокий,,
瞎,слепой,,
嘻,хи-хи!,,
嘶,ржать,,
嘲,шутить,,
嘹,звонкий,,
影,тень,,
踢,лягать,,
踏,топать,,
踩,наступать ногой на,,
踪,след,,
蝶,бабочка,,
蝴,бабочка,,
蝠,летучая мышь,,
蝎,скорпион,,
蝌,головастик,,
蝗,налёты саранчи и засуха,,
蝙,летучая мышь,,
嘿,эй!,,
嘱,наказывать быть усердным в учении,,
幢,стяг,,
墨,тушь,,
镇,давить,,
镐,мотыга,,
镑,/ счётное слово фунт стерлингов,,
靠,опираться на,,
稽,задерживать,,
稻,рис посевной,,
黎,чёрный человек,,
稿,солома,,
稼,сеять хлеб,,
箱,ящик,,
篓,бамбуковая корзина,,
箭,стрела,,
篇,бамбуковая дощечка,,
僵,опрокидываться,,
躺,лежать,,
僻,захолустный,,
德,добродетель,,
艘,суда и вёсла,,
膝,сидеть на коленях,,
膛,грудь,,
鲤,карп,,
鲫,карась,,
熟,обработанный на огне,,
摩,тереть,,
褒,хвалить,,
瘪,сморщенный,,
瘤,опухоль,,
瘫,паралич,,
凛,холодный,,
颜,лицо,,
毅,обладающий широтой взглядов и решительный,,
糊,клейстер,,
遵,соблюдать,,
憋,сдерживать,,
潜,ходить под водой,,
澎,заливать,,
潮,прилив,,
潭,скрытый,,
鲨,акула,,
澳,излучина берега,,
潘,вода после промывки риса,,
澈,прозрачный,,
澜,большие волны,,
澄,зеркальный,,
懂,знать,,
憔,измождённый,,
懊,терзаться раскаянием,,
憎,ненавидеть,,
额,лоб,,
翩,быстрый,,
褥,надувной матрац,,
谴,делать выговор,,
鹤,журавль обыкновенный,,
憨,наивный,,
慰,утешать,,
劈,колоть,,
履,туфли,,
豫,приготовить,,
缭,обвязывать,,
撼,двигать,,
擂,растирать,,
操,орудовать,,
擅,узурпировать,,
燕,ласточка,,
蕾,бутон и коробочка,,
薯,ямс,,
薛,Сюэ,,
薇,чистоуст японский,,
擎,поднимать,,
薪,хворост,,
薄,тонкий,слабый; небольшой,
颠,трясти,,
翰,фазан,,
噩,злой,,
橱,ый шкаф,,
橙,апельсин,,
橘,мандарин,,
整,приводить в порядок,,
融,таять,,
瓢,тыква-горлянка,,
醒,протрезвляться,,
霍,быстро,,
霎,мелкий дождь,,
辙,колея,,
冀,надеяться,,
餐,есть,,
嘴,рот,,
踱,прогуливаться взад и вперёд,,
蹄,конское копыто,,
蹂,одни просеивают зерно,,
蟆,жаба,,
螃,краб,,
器,сосуд,,
噪,щебетать,,
鹦,говор попугая,,
赠,дарить,,
默,молчать,,
黔,тёмный,,
镜,зеркало,,
赞,помогать,,
穆,прекрасный,,
篮,корзина,,
篡,узурпировать,,
篷,тент,,
篱,плетень,,
儒,учёный-философ,,
邀,приглашать,,
衡,вес. мера веса,,
膨,вспухать,,
雕,вырезать,,
鲸,киты и драконы,,
磨,молоть,,
瘾,увлечение,,
瘸,идти хромая,,
凝,сгущаться,,
辨,различать,,
辩,вести спор,,
糙,грубый,,
糖,сахар,,
糕,кекс,,
燃,жечь,,
濒,омываться,,
澡,мыть,,
激,стремительный,,
懒,лень,,
憾,негодование,,
懈,расслабляться,,
窿,расчистить заброшенные штольни,,
壁,стена,,
避,прятаться,,
缰,повод,,
缴,вносить,,
戴,носить груз на голове,,
擦,тереть,,
藉,подстилать,,
鞠,ножной мяч,,
藏,прятать,Тибет,
藐,далёкий,,
檬,только в сочетании,,
檐,стреха,,
檀,сандаловое дерево,,
礁,пароход наскочил на риф,,
磷,красный фосфор,,
霜,иней,,
霞,заря,,
瞭,смотреть вдаль,,
瞧,смотреть,,
瞬,моргать,,
瞳,зрачок,,
瞩,сосредоточенно всматриваться вдаль,,
瞪,уставиться неподвижным взглядом,,
曙,рассвет,,
蹋,ступать,,
蹈,ступать по,,
螺,спиральная раковина моллюска,,
蟋,сверчок,,
蟀,сверчок,,
嚎,выть,,
赡,давать,,
穗,колос,,
魏,Вэй,династия Вэй,
簧,клапан,,
簇,сплетение,,
繁,многочисленный,,
徽,отличительный знак,,
爵,кубок,,
朦,заволакиваться,,
臊,вонючий,,
鳄,китайский аллигатор,,
癌,рак желудка,,
辫,заплетать,,
赢,выиграть,,
糟,винная гуща,,
糠,отруби,,
燥,сухой,,
懦,робкий,,
豁,быть широко раскрытым,,
臀,ягодица,,
臂,рука,,
翼,крыло,,
骤,быстро мчаться,,
藕,клубень лотоса,,
鞭,плеть,,
藤,ползучие растения,,
覆,опрокидывать,,
瞻,смотреть,,
蹦,подпрыгивать,,
嚣,кричать,,
镰,серпом,,
翻,перевернуть,,
鳍,хребет,,
鹰,орёл,,
瀑,грозовой дождь,,
襟,передняя пола халата,,
璧,клейнод,,
戳,проколоть,,
孽,сын от младшей жены,,
警,предостерегать,,
蘑,грибы,,
藻,водоросль,,
攀,цепляться,,
曝,крестьяне сушат пшеницу,,
蹲,подогнуть ноги,,
蹭,ковылять,,
蹬,наступать на,,
巅,вершина горы,,
簸,веять,,
簿,счётная книга,,
蟹,краб,,
颤,дрожать,,
靡,не иметь,,
癣,выскочил струп,,
瓣,лепесток,,
羹,суп,,
鳖,дальневосточная черепаха,,
爆,лопаться,,
疆,граница,,
鬓,виски,,
壤,земля,,
馨,сильный аромат,,
耀,сияющий,,
躁,горячий,,
蠕,еле-еле двигаться,,
嚼,жевать,,
嚷,шуметь,,
巍,военные заслуги огромны,,
籍,дощечки для письма,,
鳞,биол. чешуя,,
魔,злой дух,,
糯,клейкий рис,,
灌,поливать,,
譬,пример,,
蠢,тупой,,
霸,предводитель князей,,
露,роса,показывать; раскрывать,
霹,удар грома,,
躏,топтать,,
黯,иссиня-чёрный,,
髓,мозг,,
赣,Цзянси,река Гань,
囊,мешок,,
镶,инкрустировать,,
瓤,мякоть тыквенных растений,,
罐,горшок,,
矗,выситься,,
